STATE/UT,DISTRICT,TEHSIL/BLOCK ,VILLAGE NAME,SITE NAME,latitude,longitude,WELL SITE TYPE,water_level
Andhra Pradesh,East Godavari,Rajahmundry(U),Rajahmundry,"Rajmundry 
Swarajyanagar
2013DW",16.9726,81.7851,Dug Well,2.68
Andhra Pradesh,East Godavari,Rajahmundry(U),Rajahmundry(U),Rajahmundry DW12,17.0129,81.7828,Dug Well,2.52
Andhra Pradesh,East Godavari,Rajanagaram,Anaparthy,Anaparthy,16.9384,81.9542,Dug Well,2.71
Andhra Pradesh,East Godavari,Rajanagaram,Kolamuru,Kolamuru 2013DW,17.0595,81.8051,Dug Well,3.4
Andhra Pradesh,East Godavari,Rajanagaram,Rajanagaram,Rajanagaram,17.083,81.9065,Dug Well,2.33
Andhra Pradesh,East Godavari,Rajavommangi,Badadanapalli,Badadanapalli-DW14,17.5841,82.2685,Dug Well,2.75
Andhra Pradesh,East Godavari,Rajavommangi,Jaddangi,Jaddangi-alt,17.4855,82.1582,Dug Well,4.51
Andhra Pradesh,East Godavari,Rajavommangi,Lagarai,Lagarai-DW14,17.5735,82.1922,Dug Well,2.93
Andhra Pradesh,East Godavari,Rajavommangi,Rajaumangai-Alt,Rajavommangi-alt,17.5408,82.2229,Dug Well,1.95
Andhra Pradesh,East Godavari,Ramachandrapuram,Annaipeta,Annaipeta-DW13,16.7898,82.066,Dug Well,1.43
Andhra Pradesh,East Godavari,Ramachandrapuram,Draksharamam,Draksharamam-,16.7921,82.0637,Dug Well,3.22
,,,,DW14,,,,
Andhra Pradesh,East Godavari,Ramachandrapuram,Tallapolam,Tallapolam-DW13,16.8168,82.0391,Dug Well,1.62
Andhra Pradesh,East Godavari,Ramachandrapuram,Vegayammapeta,Vegayammapeta,16.7811,82.082,Dug Well,1.83
Andhra Pradesh,East Godavari,Rampachodavaram,Folkspeta,Folkspeta-DW13,17.3139,81.8398,Dug Well,2.9
